dataset_group,dataset,anchor,anchor_mean_abs_corr_delta_mean,anchor_target_corr_delta_mean,anchor_target_corr_real_mean,anchor_target_corr_synthetic_mean
vigitel,S0_A0_realism_only,gordura,0.10378807364091858,0.015492936664333,-0.023546011000056877,-0.008121392560293947
vigitel,S0_A0_realism_only,hart,0.09302893921864072,0.1390270008594741,0.19088975180445011,0.051862750944976034
vigitel,S0_A0_realism_only,inativo,0.08194220885512113,0.04965175884235415,0.04952787135932558,-0.0001238874830285716
vigitel,S0_A0_realism_only,lanche_7,0.11145519265748331,0.029814347194940572,0.023836208812486742,-0.005978138382453828
vigitel,S0_A0_realism_only,sex,0.04423253497123879,0.05204381502897443,-0.024197492367114777,-0.010936093020370576
vigitel,S0_A0_realism_only,years_schooling,0.080120275224288,0.07325889904284477,-0.055256824566464115,0.018002074476380657
vigitel,S0_A1_anchor_only,age,0.11417815250285954,0.08852380520005343,0.105778902208495,0.017255097008441567
vigitel,S0_A1_anchor_only,ati_livre,0.09239352373656283,0.041774385626403586,-0.06680114987377513,-0.025026764247371547
vigitel,S0_A1_anchor_only,ativo_livre,0.10423649800154067,0.020720093582182558,0.006057319512434876,-0.0031684220082305245
vigitel,S0_A1_anchor_only,diab,0.07292514476844303,0.09425405669042472,0.12309083253232804,0.028836775841903316
vigitel,S0_A1_anchor_only,dislipidemia,0.08669162310428878,0.06804596390147769,0.042816916156249406,0.02908096814858039
vigitel,S0_A1_anchor_only,doces5,0.11246362503741539,0.02039457444766492,0.017852352982638327,0.012670907378476426
vigitel,S0_A1_anchor_only,exfuma,0.10182104124040314,0.01684252185717071,0.0026424044477184523,-0.007341826069274084
vigitel,S0_A1_anchor_only,flvreg,0.05979416864230023,0.04313157291046745,-0.017128678067203928,-0.007945947313453817
vigitel,S0_A1_anchor_only,fumante,0.034604494302767,0.036930663210902576,-0.04957534484407521,-0.01264468163317264
vigitel,S0_A1_anchor_only,gordura,0.1088248255300577,0.020432487516205695,-0.023546011000056877,-0.00311352348385118
vigitel,S0_A1_anchor_only,hart,0.09353277028261293,0.11128102872930556,0.19088975180445011,0.07960872307514456
vigitel,S0_A1_anchor_only,inativo,0.08531823325431631,0.04750997511559539,0.04952787135932558,0.002017896243730189
vigitel,S0_A1_anchor_only,lanche_7,0.11875661932555577,0.02401939415611531,0.023836208812486742,-0.00018318534362856686
vigitel,S0_A1_anchor_only,sex,0.04585281003965277,0.05777154100022534,-0.024197492367114777,-0.018332585070552417
vigitel,S0_A1_anchor_only,years_schooling,0.08095173643852677,0.0632668749491611,-0.055256824566464115,0.008010050382696993
vigitel,S1_A0_sep_only,age,0.11269251521494775,0.09845388388886864,0.105778902208495,0.029211337866157955
vigitel,S1_A0_sep_only,ati_livre,0.08626886381426382,0.025156899682012214,-0.06680114987377513,-0.05599374178703429
vigitel,S1_A0_sep_only,ativo_livre,0.09785120677756634,0.031725673071952766,0.006057319512434876,-0.0038974256676584016
vigitel,S1_A0_sep_only,diab,0.06665831077135952,0.06000570293701115,0.12309083253232804,0.158666756158856
vigitel,S1_A0_sep_only,dislipidemia,0.08806099325483742,0.0756351286658728,0.042816916156249406,0.025876932498686
vigitel,S1_A0_sep_only,doces5,0.10614601104456878,0.015835488814269442,0.017852352982638327,0.003597391898162776
vigitel,S1_A0_sep_only,exfuma,0.10563141593938781,0.03820504315747699,0.0026424044477184523,-0.026764483642277258
vigitel,S1_A0_sep_only,flvreg,0.062287581816408366,0.05456978775919408,-0.017128678067203928,-0.0670746518352088
vigitel,S1_A0_sep_only,fumante,0.04214472067048528,0.046829219201144155,-0.04957534484407521,-0.09640456404521938
vigitel,S1_A0_sep_only,gordura,0.11129312456462752,0.02253520407173463,-0.023546011000056877,-0.0010108069283222504
vigitel,S1_A0_sep_only,hart,0.0961760374950545,0.14678304575897186,0.19088975180445011,0.33767279756342194
vigitel,S1_A0_sep_only,inativo,0.08279959829162324,0.06394660224893745,0.04952787135932558,-0.014418730889611871
vigitel,S1_A0_sep_only,lanche_7,0.11372726010234228,0.028066526169749428,0.023836208812486742,-0.0042303173572626855
vigitel,S1_A0_sep_only,sex,0.055704983616950955,0.07500212101344747,-0.024197492367114777,-0.054355910450485566
vigitel,S1_A0_sep_only,years_schooling,0.07603084507948779,0.02450478281536373,-0.055256824566464115,-0.030752041751100384
vigitel,S1_A1_sep_anchor,age,0.11328018479405846,0.08803226693796529,0.105778902208495,0.03462427983262824
vigitel,S1_A1_sep_anchor,ati_livre,0.08886986254700713,0.024480145978305518,-0.06680114987377513,-0.05495336740085617
vigitel,S1_A1_sep_anchor,ativo_livre,0.1025224435221107,0.03315882367383697,0.006057319512434876,-0.004332788917748161
vigitel,S1_A1_sep_anchor,diab,0.06563367247745028,0.06416623526065227,0.12309083253232804,0.18190234060960586
vigitel,S1_A1_sep_anchor,dislipidemia,0.08965940077963055,0.07672060226064752,0.042816916156249406,0.03673900935021236
vigitel,S1_A1_sep_anchor,doces5,0.10973094577111726,0.011145685705235457,0.017852352982638327,0.011734091454260024
vigitel,S1_A1_sep_anchor,exfuma,0.10814486736916784,0.0368788214204983,0.0026424044477184523,-0.025768918073019155
