dataset_group,fold,dataset,evaluation,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC
vigitel,3,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.6110670083593954,0.781,0.6113294740065082,0.6108079376328845,0.6770694542877392
vigitel,3,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.4800767099936075,0.817,0.5358974358974359,0.5062012756909993,0.637388377037562
vigitel,3,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.5129381093552483,0.827,0.6410300331163641,0.5262579730687456,0.6313288447909285
vigitel,3,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.5916700694160882,0.769,0.5914580379376265,0.5918851878100638,0.6708540042523033
vigitel,3,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5948051948051948,0.766,0.5928184281842819,0.5970942593905032,0.6754961020552799
vigitel,4,Real,train_real_test_real,CatBoost,0.475819879376904,0.83,0.6663306451612903,0.5093550673281361,0.6566725726435152
vigitel,4,Real,train_real_test_real,XGBoost,0.46807867599946806,0.824,0.5404858299595141,0.5034018426647767,0.6434833451452872
vigitel,4,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.453551912568306,0.83,0.415,0.5,0.45288447909284196
vigitel,4,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.4526546250684182,0.827,0.4147442326980943,0.49819277108433735,0.43114812189936214
vigitel,4,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.45325314379442316,0.829,0.4149149149149149,0.49939759036144576,0.5036392629340893
vigitel,4,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.453551912568306,0.83,0.415,0.5,0.5057831325301204
vigitel,4,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.5645906854217406,0.781,0.5765714285714285,0.5593550673281361,0.5978703047484054
vigitel,4,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.554818703754874,0.768,0.5611150341302666,0.5515237420269312,0.6029092841956059
vigitel,4,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.4593150475802758,0.83,0.6653306613226453,0.502338766832034,0.5266229624379872
vigitel,4,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.458982317264159,0.829,0.5819124038783016,0.5017363571934799,0.5213536498936924
vigitel,4,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.554215684052255,0.764,0.5588979750778816,0.5514528703047484,0.6046669029057407
vigitel,4,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5572904707233065,0.759,0.5597442259973278,0.5554571226080793,0.6018993621545004
vigitel,5,Real,train_real_test_real,CatBoost,0.45698692166806254,0.823,0.47681451612903225,0.4987020224465466,0.6857271848700965
vigitel,5,Real,train_real_test_real,XGBoost,0.45765191169953295,0.825,0.49782025486250836,0.49990829506415824,0.6671745709267136
vigitel,5,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.45325314379442316,0.829,0.4145,0.5,0.5243970400468401
vigitel,5,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.45325314379442316,0.829,0.4145,0.5,0.5009029409067501
vigitel,5,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.46111111111111114,0.806,0.4652153840690365,0.4930903857956108,0.5263686961674391
vigitel,5,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.45996474693728734,0.803,0.4600981404958678,0.4912809768691935,0.5140590720871339
vigitel,5,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.535496207303984,0.794,0.5644256414972868,0.5345903963769496,0.673996007308178
vigitel,5,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.5337444262758,0.787,0.5554730894464661,0.5326892825146904,0.6709274190703941
vigitel,5,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.4653484438133803,0.817,0.4977936184657162,0.4997248851924746,0.5081088325961667
vigitel,5,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.460222554392958,0.792,0.4570098894706225,0.48696731777171115,0.5193744312530422
vigitel,5,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.5251576834862386,0.788,0.5479909996785599,0.5263298979253521,0.665527409194478
vigitel,5,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5303505566853952,0.782,0.5480243404002694,0.5296736009706615,0.6697246735656994
