dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
covid,5,S1_A0_sep_only,sexo,0.101564805457562,0.03053741997059292,0.1627557234453283,0.13221830347473537
covid,5,S1_A0_sep_only,tabagismo,0.051341963114931534,0.15592252703960618,0.18190171877724973,0.025979191737643542
covid,5,S1_A0_sep_only,comorb_cirrose,0.06709422559397694,0.2280319825649793,0.0,0.2280319825649793
covid,5,S0_A1_anchor_only,idade,0.1250304259496248,0.18176447557777395,0.13928432547718766,0.042480150100586284
covid,5,S0_A1_anchor_only,sexo,0.10006094831972456,0.03053741997059292,0.13217526428635734,0.10163784431576442
covid,5,S0_A1_anchor_only,tabagismo,0.05971113546870425,0.15592252703960618,0.08636565851785126,0.06955686852175492
covid,5,S0_A1_anchor_only,comorb_cirrose,0.06709422559397694,0.2280319825649793,0.0,0.2280319825649793
covid,5,S1_A1_sep_anchor,idade,0.13580241044098285,0.18176447557777395,0.30292140995195105,0.1211569343741771
covid,5,S1_A1_sep_anchor,sexo,0.1034399562926231,0.03053741997059292,0.13310871701625052,0.1025712970456576
covid,5,S1_A1_sep_anchor,tabagismo,0.05908588247061973,0.15592252703960618,0.2554347162149926,0.0995121891753864
covid,5,S1_A1_sep_anchor,comorb_cirrose,0.06431787706239415,0.2280319825649793,0.105999788000636,0.1220321945643433
vigitel,1,Standard_CTGAN,age,0.1440556106693984,0.10816616332476738,-0.005987003826649337,0.11415316715141671
vigitel,1,Standard_CTGAN,sex,0.056512469808426925,-0.02694041908456409,-0.020283128487764594,0.006657290596799495
vigitel,1,Standard_CTGAN,fumante,0.05666325087962815,-0.040245029775321406,-0.021883422945563894,0.018361606829757512
vigitel,1,Standard_CTGAN,exfuma,0.12782870263770016,0.010518067732925056,-0.014637348018142232,0.02515541575106729
vigitel,1,Standard_CTGAN,inativo,0.09439875115729915,0.062425856092667514,-0.0009356060861565984,0.06336146217882412
vigitel,1,Standard_CTGAN,ativo_livre,0.14153308966041606,0.005835148968751584,-0.002301144786517271,0.008136293755268855
vigitel,1,Standard_CTGAN,ati_livre,0.11296238584371146,-0.07288310037128513,0.007960981764544623,0.08084408213582976
vigitel,1,Standard_CTGAN,diab,0.06789958292724002,0.11825994387759066,0.03319012654477372,0.08506981733281693
vigitel,1,Standard_CTGAN,hart,0.09937004426884254,0.1913657166568627,0.052318985019399654,0.13904673163746303
vigitel,1,Standard_CTGAN,dislipidemia,0.09381130055351417,0.041102217716029094,0.14375187013949875,0.10264965242346966
vigitel,1,Standard_CTGAN,doces5,0.14538224306764477,0.020966049086472188,0.01580048093469761,0.005165568151774578
vigitel,1,Standard_CTGAN,lanche_7,0.12888961723558978,0.029367820895806286,0.01672361637007497,0.012644204525731315
vigitel,1,Standard_CTGAN,gordura,0.13916740708904032,-0.019213851481238584,-0.004571536655247472,0.014642314825991112
vigitel,1,Standard_CTGAN,flvreg,0.07501376493096457,-0.01416147230011547,0.03450875998388724,0.04867023228400271
vigitel,1,Standard_CTGAN,years_schooling,0.09576760441508723,-0.053009116724690566,-0.002290900536922822,0.05071821618776774
vigitel,1,S0_A0_realism_only,age,0.1044714207146305,0.10816616332476738,0.03046753080667453,0.07769863251809285
vigitel,1,S0_A0_realism_only,sex,0.04209314907993363,-0.02694041908456409,0.004332634189626147,0.031273053274190235
vigitel,1,S0_A0_realism_only,fumante,0.04260056916091426,-0.040245029775321406,0.0034270645827120653,0.04367209435803347
vigitel,1,S0_A0_realism_only,exfuma,0.10228587861268226,0.010518067732925056,0.00935086490789166,0.0011672028250333966
vigitel,1,S0_A0_realism_only,inativo,0.08212989120698498,0.062425856092667514,0.004986003509270576,0.05743985258339694
vigitel,1,S0_A0_realism_only,ativo_livre,0.07518801244485339,0.005835148968751584,0.006202862091797658,0.00036771312304607374
vigitel,1,S0_A0_realism_only,ati_livre,0.09384903501369439,-0.07288310037128513,0.0017792606868708995,0.07466236105815603
vigitel,1,S0_A0_realism_only,diab,0.06185990443418724,0.11825994387759066,0.039648416492702725,0.07861152738488794
vigitel,1,S0_A0_realism_only,hart,0.07905224505981231,0.1913657166568627,0.10178505754994815,0.08958065910691454
vigitel,1,S0_A0_realism_only,dislipidemia,0.0813494023437546,0.041102217716029094,0.1670363614337413,0.1259341437177122
vigitel,1,S0_A0_realism_only,doces5,0.10502068382458353,0.020966049086472188,0.03533174028572717,0.014365691199254984
