dataset_group,condition,attribute_1,attribute_2,spearman_rho,signed_correlation_percent,absolute_correlation_percent,rho_squared_percent
covid,S1_A0_sep_only,comorb_drc,comorb_reumatologica,0.03567108777834901,3.5671087778349007,3.5671087778349007,0.12724265032906798
covid,S1_A0_sep_only,comorb_drc,comorb_cirrose,-0.01044023756494562,-1.044023756494562,1.044023756494562,0.010899856041250164
covid,S1_A0_sep_only,comorb_drc,comorb_hiv,0.01575091881923847,1.575091881923847,1.575091881923847,0.024809144365024065
covid,S1_A0_sep_only,comorb_drc,obito,-0.020169279720066678,-2.016927972006668,2.016927972006668,0.0406799844426293
covid,S1_A0_sep_only,comorb_cancer,comorb_reumatologica,-0.018229693804603007,-1.8229693804603007,1.8229693804603007,0.03323217362095813
covid,S1_A0_sep_only,comorb_cancer,comorb_cirrose,-0.010058532409552722,-1.0058532409552723,1.0058532409552723,0.01011740742340225
covid,S1_A0_sep_only,comorb_cancer,comorb_hiv,-0.018827860744389878,-1.8827860744389877,1.8827860744389877,0.03544883402101374
covid,S1_A0_sep_only,comorb_cancer,obito,0.0647847963520162,6.47847963520162,6.47847963520162,0.41970698383722116
covid,S1_A0_sep_only,comorb_reumatologica,comorb_cirrose,-0.00451530349815667,-0.451530349815667,0.451530349815667,0.0020387965680465857
covid,S1_A0_sep_only,comorb_reumatologica,comorb_hiv,-0.010096245391891951,-1.0096245391891951,1.0096245391891951,0.010193417101329946
covid,S1_A0_sep_only,comorb_reumatologica,obito,0.09125487584241584,9.125487584241585,9.125487584241585,0.8327452365014731
covid,S1_A0_sep_only,comorb_cirrose,comorb_hiv,-0.004759949552353742,-0.4759949552353742,0.4759949552353742,0.002265711974095259
covid,S1_A0_sep_only,comorb_cirrose,obito,0.05734603066980528,5.734603066980528,5.734603066980528,0.3288567233582248
covid,S1_A0_sep_only,comorb_hiv,obito,-0.038521181280684304,-3.8521181280684305,3.8521181280684305,0.1483881407259343
covid,S0_A1_anchor_only,idade,sexo,-0.05650632483490784,-5.650632483490784,5.650632483490784,0.31929647463481226
