prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.05,2.0,low,8,Real only,LogisticRegression,0.614352001454648,0.7673065735892961,0.5555555555555556
0.05,2.0,low,8,Real only,RandomForest,0.820073121584438,0.8663081745123962,0.7457627118644068
0.05,2.0,low,8,Random oversampling,LogisticRegression,0.5351848677056761,0.6162100442972519,0.33540372670807456
0.05,2.0,low,8,Random oversampling,RandomForest,0.8325585303851077,0.9174735915492958,0.84375
0.05,2.0,low,8,SMOTE,LogisticRegression,0.5634006785715532,0.6154832094334786,0.3373493975903614
0.05,2.0,low,8,SMOTE,RandomForest,0.8562207158124707,0.9176636435085268,0.8450704225352113
0.05,2.0,low,8,SepAware-SMOTE,LogisticRegression,0.6022038287320669,0.6921069797782127,0.4380952380952381
0.05,2.0,low,8,SepAware-SMOTE,RandomForest,0.8419156407594762,0.9174735915492958,0.84375
0.05,2.0,low,9,Real only,LogisticRegression,0.6105290442567072,0.7788796569284374,0.5769230769230769
0.05,2.0,low,9,Real only,RandomForest,0.7715797812423054,0.8054574310141811,0.6274509803921569
0.05,2.0,low,9,Random oversampling,LogisticRegression,0.6095440213313176,0.6561041513141734,0.391304347826087
0.05,2.0,low,9,Random oversampling,RandomForest,0.7905799540376536,0.8771929824561404,0.7666666666666667
0.05,2.0,low,9,SMOTE,LogisticRegression,0.6138841892352093,0.6615228614885853,0.3969465648854962
0.05,2.0,low,9,SMOTE,RandomForest,0.7789077151368747,0.8780074550999661,0.7692307692307693
0.05,2.0,low,9,SepAware-SMOTE,LogisticRegression,0.6169081354408416,0.7183819764464925,0.47619047619047616
0.05,2.0,low,9,SepAware-SMOTE,RandomForest,0.7443247752706413,0.8550637115767861,0.7241379310344828
0.15,0.4,high,0,Real only,LogisticRegression,0.21644878210502755,0.4584837545126354,0.0
0.15,0.4,high,0,Real only,RandomForest,0.6460109123772375,0.6031746031746033,0.2777777777777778
0.15,0.4,high,0,Random oversampling,LogisticRegression,0.21156277182413358,0.5010837116100274,0.28654970760233917
0.15,0.4,high,0,Random oversampling,RandomForest,0.6969704277616376,0.7518290739698533,0.5611510791366906
0.15,0.4,high,0,SMOTE,LogisticRegression,0.19997496798980913,0.5128118158552003,0.3008849557522124
0.15,0.4,high,0,SMOTE,RandomForest,0.6382121744888367,0.769198606271777,0.6057142857142858
0.15,0.4,high,0,SepAware-SMOTE,LogisticRegression,0.21397368716892956,0.5345899861338019,0.33136094674556216
0.15,0.4,high,0,SepAware-SMOTE,RandomForest,0.6956285702335713,0.7657971167904942,0.5874125874125874
0.15,0.4,high,1,Real only,LogisticRegression,0.2587546357935096,0.4678442028985507,0.020833333333333332
0.15,0.4,high,1,Real only,RandomForest,0.5538789866046614,0.6201162091765178,0.3130434782608696
0.15,0.4,high,1,Random oversampling,LogisticRegression,0.2303708660131841,0.5013246065139473,0.3118279569892473
0.15,0.4,high,1,Random oversampling,RandomForest,0.5551616400696424,0.7066682739637956,0.48226950354609927
0.15,0.4,high,1,SMOTE,LogisticRegression,0.2334452908863882,0.5085898494319299,0.31693989071038253
0.15,0.4,high,1,SMOTE,RandomForest,0.4553264729711006,0.6589781746031746,0.4270833333333333
0.15,0.4,high,1,SepAware-SMOTE,LogisticRegression,0.24258642764446794,0.5193084643659032,0.3086053412462908
0.15,0.4,high,1,SepAware-SMOTE,RandomForest,0.5532501579136829,0.7058342866481452,0.4827586206896552
0.15,0.4,high,2,Real only,LogisticRegression,0.4409039147919481,0.6296296296296297,0.3333333333333333
0.15,0.4,high,2,Real only,RandomForest,0.7234044769470359,0.6988959518233523,0.45901639344262296
