dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
COVID-19,Real only,LogisticRegression,15,0.38832969075412066,0.06839780406320478,0.5440602164125795,0.04562589409667071,0.25598199117039694,0.08162856394200717,0.19215686274509805,0.06739750430900161,0.6071388888888889,0.05221844352726018,0.198047464300855,0.01652628023587682
COVID-19,Real only,RandomForest,15,0.3179914994453209,0.04141344530707497,0.43610256991711227,0.019151193418901858,0.014424951267056526,0.038083388895257246,0.007843137254901959,0.020697986780852842,0.5860604575163398,0.04445516267269116,0.18600648456053348,0.005369512365981254
COVID-19,SMOTE,CatBoost,15,0.28983277672053276,0.04417346587811649,0.49176879169990745,0.04914070194910296,0.22104385928695072,0.07601170489658117,0.20955882352941171,0.08076289880282342,0.5441045751633986,0.05141988537974293,0.23343562135666115,0.0220496158767034
COVID-19,SMOTE,LogisticRegression,15,0.3802282211693097,0.05005418128188996,0.542244715573564,0.051554553613536426,0.2796025254211474,0.08421326569140117,0.2406862745098039,0.07453185717790663,0.5936013071895425,0.031970613664550056,0.20837029063074286,0.01619773723103054
COVID-19,SMOTE,RandomForest,15,0.29885568684007774,0.039479102496740505,0.4905992342697458,0.06163193867283084,0.20910177590599235,0.10518545404807332,0.1931372549019608,0.09858022123187234,0.5424068627450981,0.03998135820719242,0.21434541716523403,0.008797861384823781
COVID-19,SepAware CTGAN,CatBoost,15,0.3527223897511625,0.07410011673539142,0.5346600443335044,0.07498445484680609,0.321247854422727,0.13102627732792171,0.3654411764705882,0.17252459760006328,0.5927009803921569,0.06424723603266601,0.2350736228743455,0.02473441353582815
COVID-19,SepAware CTGAN,LogisticRegression,15,0.3631510906613808,0.06514298282352207,0.5570561415215324,0.04535682794633524,0.36391241469360835,0.0739966311534866,0.41862745098039217,0.1121591842353423,0.5950620915032678,0.0541549704619578,0.2366581154472542,0.0224234340490926
COVID-19,SepAware CTGAN,RandomForest,15,0.34659327257431444,0.06567009813087003,0.5320753436142028,0.056180666132783115,0.31926610843366343,0.10137504076147297,0.36299019607843136,0.1454644842301766,0.5895441176470588,0.06095539578725432,0.2220787686111165,0.014193433354142799
COVID-19,SepAware TVAE,CatBoost,15,0.32158509127068613,0.03660718146766741,0.49077367731361915,0.058336175046618303,0.19248604698279861,0.10000897481242185,0.16446078431372546,0.09575440738264487,0.5754820261437908,0.0473232421490369,0.2267295814678573,0.01761889743145271
COVID-19,SepAware TVAE,LogisticRegression,15,0.3746738363777867,0.06692776121656104,0.5408287893218888,0.04574129960231367,0.2746614969053749,0.08129948455854134,0.2372549019607843,0.08703297912059182,0.5966029411764706,0.0417807393836673,0.21198636139702662,0.020852851799165805
COVID-19,SepAware TVAE,RandomForest,15,0.300137841915536,0.06036281308347994,0.4530277184205799,0.0563304447555263,0.08116895766323684,0.10285503951805294,0.05710784313725491,0.0751125096677285,0.5539052287581699,0.05354128913009935,0.2010299343050629,0.0124570922431111
COVID-19,Standard CTGAN,CatBoost,15,0.3499442598717277,0.08834774658747342,0.5129752006217082,0.049329265706305296,0.2858808765143518,0.07595234682655738,0.30980392156862746,0.10243787024262616,0.5694967320261438,0.09090106427608716,0.23309052419601767,0.02992008700203756
COVID-19,Standard CTGAN,LogisticRegression,15,0.3337084728897503,0.07843878738854188,0.5146597116944228,0.06702435498360257,0.3052351502911781,0.10754708399687954,0.3566176470588235,0.14534851029978527,0.5343382352941177,0.08400045673782645,0.2479329926392742,0.019667249821292112
COVID-19,Standard CTGAN,RandomForest,15,0.33330189083118605,0.07650738292502644,0.4977722429036883,0.06277054584917091,0.2667358904492234,0.10962714533182256,0.30098039215686273,0.14738584088460072,0.5439215686274509,0.08602577312406957,0.22685022511510938,0.013648268697896577
COVID-19,Standard TVAE,CatBoost,15,0.329110171198378,0.05635926635915855,0.5279333467816211,0.06899595737266444,0.26265336078566554,0.12148898094299915,0.24166666666666664,0.1256122753970859,0.5876764705882352,0.04568989053956508,0.2248638730746011,0.02079775963178991
COVID-19,Standard TVAE,LogisticRegression,15,0.3857676112610081,0.07029319427369185,0.5606727627710874,0.04909864990058016,0.3059715160869735,0.08247003504094523,0.26127450980392153,0.08138768167819013,0.6035359477124183,0.0429214150576778,0.20919111467609247,0.020297144562768668
COVID-19,Standard TVAE,RandomForest,15,0.32674582415899966,0.07859935763659799,0.48386815555243695,0.059919142848239876,0.14263184898272616,0.1129878674769246,0.10539215686274511,0.09102159974262541,0.563702614379085,0.0619239854576871,0.19999348510218604,0.013745424781318228
Kidney mortality,Class weighting,CatBoost,15,0.11578134955276559,0.02456872061220295,0.5331376214753897,0.012775234224861775,0.185000560237234,0.022264898889741407,0.4407174470067552,0.05878833681584827,0.6578996506516094,0.03893380048456386,0.160615609821655,0.003961453081596864
Kidney mortality,Class weighting,LogisticRegression,15,0.11670987561573326,0.02208774096097448,0.5021436774827093,0.00988973284132054,0.1801716913364131,0.01361957585855087,0.5955043093407874,0.047799469453890346,0.7076111093900734,0.029640940285887728,0.21713520148019722,0.003506120050095527
Kidney mortality,Class weighting,RandomForest,15,0.09096874670390517,0.021162039902870307,0.5406682066362064,0.021053364184192264,0.12189781784792128,0.03915657594138326,0.09995341253202886,0.030138880938723647,0.5891133659986024,0.04441450378634849,0.09182076459132946,0.005146507291143223
Kidney mortality,Random oversampling,CatBoost,15,0.10960732607884217,0.026348258861527002,0.5397691961354145,0.015403592762110375,0.1802373709630116,0.02772260686178713,0.36964826461681805,0.061272344463652234,0.629806876748907,0.04295648222601186,0.14702256359670282,0.00445756096989773
