prevalence,class_sep,overlap,method,classifier,auprc_mean,auprc_sd,macro_f1_mean,minority_f1_mean
0.3,1.0,moderate,SepAware-SMOTE,LogisticRegression,0.7121420794457282,0.13311555543182418,0.7495003442619222,0.6667119169306932
0.3,1.0,moderate,SepAware-SMOTE,RandomForest,0.9089964101173076,0.04561017694513679,0.8828895121399372,0.8339853615595578
0.3,2.0,low,Random oversampling,LogisticRegression,0.9094931982741938,0.07344556795623386,0.8879113549571562,0.8489226686993947
0.3,2.0,low,Random oversampling,RandomForest,0.9718156045407135,0.023681354571982772,0.9666749387766208,0.9535673550413305
0.3,2.0,low,Real only,LogisticRegression,0.9116627326228558,0.07082787600320022,0.8961976322747258,0.8517296582097178
0.3,2.0,low,Real only,RandomForest,0.9704955901734369,0.02116519677253822,0.9658505527143255,0.9519674207709686
0.3,2.0,low,SMOTE,LogisticRegression,0.9104317016123102,0.07170358351776146,0.8886194583007866,0.8493730728981218
0.3,2.0,low,SMOTE,RandomForest,0.971480471195904,0.02040171067075834,0.9668703488021417,0.9538393767351048
0.3,2.0,low,SepAware-SMOTE,LogisticRegression,0.911148145338084,0.07076729818918039,0.8959474931469812,0.8570879419134896
0.3,2.0,low,SepAware-SMOTE,RandomForest,0.9726528103455759,0.021277272987595647,0.9659844792863558,0.952293125629032
