dataset,condition,auprc_mean,auprc_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,positive_f1_mean,positive_f1_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
Kidney mortality,Random oversampling,0.10301856994296783,0.01805104742462777,0.6428670216572214,0.058777939107287104,0.5276693065985679,0.022861361193596965,0.16494086683716758,0.02893179102438519,0.11811685694511187,0.021719090401454227,0.3666899604006522,0.1895908310537352,0.6013207646651457,0.0500753022408693,0.15522059156066673,0.04742260315518652,-2.6289025063030427,0.17062375185545645,0.48519637952604083,0.24659085875986064
Kidney mortality,Random undersampling,0.11702353279095103,0.019138897997620155,0.696288083110508,0.03396366222625959,0.4870237886174989,0.019684304467635295,0.17202999543126735,0.0164329550852464,0.10009912371899239,0.01006172715954733,0.6173926547092166,0.06662959018952509,0.6511254192360711,0.03095508702970752,0.2246432507281511,0.009131008390855741,-2.877150042024268,0.05256459908600699,0.681145199790177,0.19760223006838915
Kidney mortality,Real only,0.12157146157179383,0.016837524472509538,0.6976373407690454,0.02987788985864217,0.48660690649969995,0.0028371339649615945,0.0008230452674897112,0.005521155499999476,0.022222222222222223,0.14907119849998596,0.00041928721174004,0.0028126641226412317,0.5000218294608838,0.001478904428059847,0.049677318473048064,0.000988252024571178,-0.6301210762231934,0.5591435333320807,0.7573762220215736,0.2081519468814517
Kidney mortality,SMOTE,0.09577009371034138,0.021036443808425953,0.6275407897677018,0.06408181029313019,0.5202789689593841,0.02497659076501217,0.12672170957906084,0.05711218010654773,0.11939034956411897,0.05070165481610938,0.2556099076015218,0.25187474935331966,0.5700547149866976,0.06752394381399648,0.1310895692367376,0.060715251922148515,-2.522644292545437,0.25717492714642204,0.4473034301950811,0.21298512676882708
Kidney mortality,SepAware CTGAN,0.10960007918025762,0.021247881892476856,0.6666260640970222,0.051260511173654134,0.5264925393569213,0.021697849275427523,0.12079413428932742,0.04310757819308757,0.12078889035763483,0.04859401530236143,0.17483500271760227,0.1285750518930163,0.545585004339791,0.033280924689339034,0.09893503869609141,0.04519256318201247,-2.129601156822043,0.4158879797957606,0.404450533950238,0.1391422910942463
Kidney mortality,SepAware TVAE,0.10291419407342664,0.02052894765931056,0.6517083720256309,0.05695216655449752,0.5082688580050163,0.021664621393343783,0.056105863509722,0.051927595975264904,0.10098225599518144,0.09324104515281406,0.05441416259026318,0.07162418002084517,0.5140582431432238,0.02154594403972436,0.06471385988978764,0.01963121725393239,-1.7723743160764318,0.6083036387982171,0.3925173309515417,0.2137980840815228
Kidney mortality,Standard CTGAN,0.10426804962688632,0.021151032886316038,0.6533833645485468,0.06952161960052415,0.5216599374607048,0.019602923468829584,0.1063166462844682,0.03624939036374229,0.12301945171468964,0.057105368622531474,0.14029039521701991,0.10243138743077088,0.5334764175211006,0.022159660970090107,0.09437990779125176,0.04349013783903666,-2.0916748111928856,0.4672404065420025,0.39999649197767584,0.1488417099658613
Kidney mortality,Standard TVAE,0.10263412258221692,0.01901749427207698,0.6532098244553204,0.05518727931312103,0.5026385496383229,0.020458848884768312,0.04273649282724738,0.05033270102045339,0.08884937899585117,0.11626032231654262,0.04231695007376347,0.0698198790010196,0.5103927544236623,0.01978400573308853,0.06199321940066523,0.018397734852171468,-1.685818102538704,0.6280726279084844,0.42301987311425465,0.22175092526017423
Vigitel,Class weighting,0.28443723465368126,0.02240263497510683,0.6721514960801738,0.01951989534236573,0.571575154306245,0.016484600728256422,0.34231134976266164,0.04080226749868212,0.28398433689999053,0.029461570792213784,0.4758857929136567,0.14687460304697328,0.6101874678263434,0.029942650412937602,0.20051267941415826,0.029596639101193943,-1.3557844871356992,0.24496772878666553,0.8064617890733291,0.13112491763337705
Vigitel,Random oversampling,0.2813017152863673,0.02127558440578133,0.6676367522274046,0.020402405101487064,0.5729199002362448,0.017117785080063716,0.3474061591180685,0.0337283386650818,0.2788910269684123,0.026613282968530185,0.4856774834690211,0.11474401555407329,0.6115885943819318,0.026254269490519122,0.20240320837708026,0.02493580253441178,-1.3895407095733252,0.18012588267784135,0.7423531279218043,0.15433825885460417
Vigitel,Random undersampling,0.2767025003388626,0.02356853040303005,0.6689522185687732,0.019574707823355766,0.5509300668759438,0.01653476107109542,0.3625351298415691,0.018260438192633576,0.25744880317987057,0.014447508144721804,0.6175453885257807,0.05789628416592158,0.6254887260619806,0.018351739029032164,0.2297403026474098,0.005869729178843798,-1.5774273761573536,0.030009227470426912,0.8033019114495722,0.14414672500718204
