dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney mortality,1,3,43,1153,Random oversampling,7574,1000,0.5,0.054,RandomForest,0.5381753086528354,0.1322314049586777,0.11940298507462686,0.14814814814814814,0.5428901417273511,0.0839313375399678,0.6080475295591574,0.10221736647587533,-2.408899164255197,0.34368705081250467
Kidney mortality,1,3,43,1153,Random oversampling,7574,1000,0.5,0.054,CatBoost,0.5192784598597514,0.14479638009049775,0.09580838323353294,0.2962962962962963,0.5683384229895858,0.11247612455370234,0.6255089656252447,0.14386780987211167,-2.522579869004242,0.4235235138120876
Kidney mortality,1,3,43,1153,Random undersampling,426,1000,0.5,0.054,LogisticRegression,0.4954383508042095,0.1694915254237288,0.1,0.5555555555555556,0.6350716466995536,0.11455784269118358,0.6568690783807063,0.21600196665794957,-2.8097487296269303,0.7181223130083597
Kidney mortality,1,3,43,1153,Random undersampling,426,1000,0.5,0.054,RandomForest,0.41755991558536537,0.13565891472868216,0.07575757575757576,0.6481481481481481,0.5983869704799938,0.10305766171371113,0.6444581473651242,0.23298118358090772,-2.823614922581446,0.5554627288488674
Kidney mortality,1,3,43,1153,Random undersampling,426,1000,0.5,0.054,CatBoost,0.4432534296293477,0.14316702819956617,0.08108108108108109,0.6111111111111112,0.6078811369509044,0.11128187913863936,0.6473944875107666,0.24197383254199145,-2.8530952545929464,0.45181137446077385
Kidney mortality,1,3,43,1153,SMOTE,7574,1000,0.5,0.054,LogisticRegression,0.49321045783582895,0.15568862275449102,0.09285714285714286,0.48148148148148145,0.606491269281967,0.11427163629530454,0.6320667919505129,0.20822031944759373,-2.7581362512470435,0.5463336130972443
Kidney mortality,1,3,43,1153,SMOTE,7574,1000,0.5,0.054,RandomForest,0.5355099688968068,0.11235955056179775,0.14285714285714285,0.09259259259259259,0.530440059509827,0.08157478378553723,0.6036430193406938,0.08577016228684067,-2.2542457893917596,0.3968968299310996
Kidney mortality,1,3,43,1153,SMOTE,7574,1000,0.5,0.054,CatBoost,0.5483073411943704,0.13636363636363635,0.17647058823529413,0.1111111111111111,0.5407564012215175,0.08820818554471377,0.6048958578028345,0.08260455541922161,-2.2408517757927964,0.41001351355246657
Kidney mortality,1,3,43,1153,Standard CTGAN,7574,1000,0.5,0.054,LogisticRegression,0.5051692993581613,0.1271186440677966,0.08241758241758242,0.2777777777777778,0.5506225041108762,0.10502023545377107,0.6360993657505286,0.17431714556378022,-2.6770469528176757,0.45293246692433464
Kidney mortality,1,3,43,1153,Standard CTGAN,7574,1000,0.5,0.054,RandomForest,0.5432785831486713,0.12903225806451613,0.15384615384615385,0.1111111111111111,0.5381136950904393,0.10537947071049879,0.6434402161146346,0.07215614842104304,-2.041542132026808,0.3683317831677991
Kidney mortality,1,3,43,1153,Standard CTGAN,7574,1000,0.5,0.054,CatBoost,0.5197310493876571,0.07692307692307693,0.125,0.05555555555555555,0.5166784120272492,0.10613680074556964,0.6646405919661733,0.06061193734614954,-1.7185414321694694,0.4571328466227417
Kidney mortality,1,3,43,1153,SepAware CTGAN,7574,1000,0.5,0.054,LogisticRegression,0.521780303030303,0.15833333333333333,0.10215053763440861,0.35185185185185186,0.5876595411479133,0.10528597771878727,0.5812289562289563,0.17796024428928836,-2.7319462259490717,0.14185140043201952
Kidney mortality,1,3,43,1153,SepAware CTGAN,7574,1000,0.5,0.054,RandomForest,0.5423187693956375,0.1276595744680851,0.15,0.1111111111111111,0.5375851538642237,0.09672475764360702,0.6446734789758045,0.07205861194863439,-2.0379066059532667,0.38010012772918966
Kidney mortality,1,3,43,1153,SepAware CTGAN,7574,1000,0.5,0.054,CatBoost,0.5189741629820966,0.0759493670886076,0.12,0.05555555555555555,0.5161498708010336,0.10235736504012133,0.6545102184637068,0.06328278541797297,-1.8429615458840076,0.42568728859069477
Kidney mortality,1,3,43,1153,Standard TVAE,7574,1000,0.5,0.054,LogisticRegression,0.5076155462184874,0.0625,0.07142857142857142,0.05555555555555555,0.5071646699553676,0.07152802654627986,0.5400027405841359,0.0758467523878684,-2.680542916127494,0.06028213329632003
Kidney mortality,1,3,43,1153,Standard TVAE,7574,1000,0.5,0.054,RandomForest,0.5033904885734666,0.03508771929824561,0.3333333333333333,0.018518518518518517,0.508202176806828,0.10957240733345508,0.6625068514603397,0.0536092837774121,-1.5232039123464263,0.47480338155556734
Kidney mortality,1,3,43,1153,Standard TVAE,7574,1000,0.5,0.054,CatBoost,0.5197303504222007,0.06779661016949153,0.4,0.037037037037037035,0.5169328948398716,0.12126146944704616,0.6639945971341321,0.05269054194863427,-1.287398734953777,0.5476146982406929
Kidney mortality,1,3,43,1153,SepAware TVAE,7574,1000,0.5,0.054,LogisticRegression,0.5401041601929076,0.13953488372093023,0.12,0.16666666666666666,0.5484496124031008,0.07083541780899355,0.5385932973142276,0.09705324767264903,-2.690739788343971,0.05821963927944706
Kidney mortality,1,3,43,1153,SepAware TVAE,7574,1000,0.5,0.054,RandomForest,0.516516295039785,0.06349206349206349,0.2222222222222222,0.037037037037037035,0.514818729935009,0.11165019084145743,0.6641316263409287,0.05550452439680437,-1.6037717439075239,0.4440074439335596
Kidney mortality,1,3,43,1153,SepAware TVAE,7574,1000,0.5,0.054,CatBoost,0.515006956867422,0.06153846153846154,0.18181818181818182,0.037037037037037035,0.5137616474825777,0.10897382548790839,0.659130060292851,0.05573357362219134,-1.522911193928439,0.4591979873038465
Kidney mortality,1,4,43,1190,Real only,4000,1000,0.05325,0.054,LogisticRegression,0.48612538540596095,0.0,0.0,0.0,0.5,0.1150490632879158,0.7012469657818495,0.04999982507491191,-0.12998045772718336,0.9464921180568666
Kidney mortality,1,4,43,1190,Real only,4000,1000,0.05325,0.054,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.13752622770893097,0.722858429253778,0.0491861930730539,-0.49199982235973455,0.8014772448350261
Kidney mortality,1,4,43,1190,Real only,4000,1000,0.05325,0.054,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.5,0.13709534557547376,0.7151652180721948,0.04928150994352486,-0.08762438060410727,0.937181041306488
Kidney mortality,1,4,43,1190,Class weighting,4000,1000,0.05325,0.054,LogisticRegression,0.500082744924978,0.17613636363636365,0.1040268456375839,0.5740740740740741,0.6459165296374598,0.11199700411034266,0.7081767285255657,0.21754301934229206,-2.831323309052162,0.784847642022087
Kidney mortality,1,4,43,1190,Class weighting,4000,1000,0.05325,0.054,RandomForest,0.5472692101905585,0.1348314606741573,0.17142857142857143,0.1111111111111111,0.5402278599953019,0.08712542872805694,0.5610073604259651,0.09507920503386509,-2.4304831301807486,0.314030603138004
Kidney mortality,1,4,43,1190,Class weighting,4000,1000,0.05325,0.054,CatBoost,0.5407146299359037,0.1976284584980237,0.12562814070351758,0.46296296296296297,0.6395153081199593,0.10790712678735463,0.693651632605121,0.15953428834951358,-2.5310319332718607,0.7059172338392712
Kidney mortality,1,4,43,1190,Random oversampling,7574,1000,0.5,0.054,LogisticRegression,0.5012987012987012,0.17714285714285713,0.10472972972972973,0.5740740740740741,0.6469736120898912,0.11248869542126913,0.6991132252760159,0.2182117964267737,-2.8356274455609825,0.8010731936162292
Kidney mortality,1,4,43,1190,Random oversampling,7574,1000,0.5,0.054,RandomForest,0.5544737866445311,0.1592920353982301,0.15254237288135594,0.16666666666666666,0.556906272022551,0.08976135462172748,0.5718718189648422,0.10751189516172366,-2.4754876264263395,0.30400123562705167
Kidney mortality,1,4,43,1190,Random oversampling,7574,1000,0.5,0.054,CatBoost,0.5402371325509483,0.1784037558685446,0.11949685534591195,0.35185185185185186,0.6019301542557356,0.09371930759179671,0.6437827891316263,0.1473857123892626,-2.529694113054435,0.4827154554184576
Kidney mortality,1,4,43,1190,Random undersampling,426,1000,0.5,0.054,LogisticRegression,0.4958573734678393,0.17270194986072424,0.10163934426229508,0.5740740740740741,0.6422167410539503,0.1479331648107099,0.7016189022002975,0.2207272168085312,-2.8601139395323325,0.9118253593400583
Kidney mortality,1,4,43,1190,Random undersampling,426,1000,0.5,0.054,RandomForest,0.4911240287319202,0.1746031746031746,0.10185185185185185,0.6111111111111112,0.6517500587268029,0.1254891123527896,0.7078635189100305,0.21507738288507694,-2.8465051780532074,0.916732835960727
Kidney mortality,1,4,43,1190,Random undersampling,426,1000,0.5,0.054,CatBoost,0.49137024855040523,0.17754569190600522,0.1033434650455927,0.6296296296296297,0.6588951530811996,0.12397051136827611,0.6955700415002741,0.22998351809659104,-2.906210971154769,0.6657838215821453
Kidney mortality,1,4,43,1190,SMOTE,7574,1000,0.5,0.054,LogisticRegression,0.4940602675409305,0.1712707182320442,0.10064935064935066,0.5740740740740741,0.6406311173753034,0.09868530403968358,0.6943759298410461,0.21698014575371155,-2.8046230811113344,0.6473786455730405
Kidney mortality,1,4,43,1190,SMOTE,7574,1000,0.5,0.054,RandomForest,0.515359379660006,0.07142857142857142,0.1,0.05555555555555555,0.5135071646699554,0.07676236777238682,0.5917019027484144,0.09078001722920907,-2.35995788310635,0.3456717935309196
Kidney mortality,1,4,43,1190,SMOTE,7574,1000,0.5,0.054,CatBoost,0.5167730613698213,0.07317073170731707,0.10714285714285714,0.05555555555555555,0.5145642471223867,0.08102972654287105,0.5931309216192937,0.09001860143720301,-2.3162267502497755,0.3941778439896917
Kidney mortality,1,4,43,1190,Standard CTGAN,7574,1000,0.5,0.054,LogisticRegression,0.5121242318551735,0.12962962962962962,0.08641975308641975,0.25925925925925924,0.5514055281497142,0.12178489425852698,0.6116690157387831,0.1464106356682725,-2.595527605249621,0.3457685040358302
Kidney mortality,1,4,43,1190,Standard CTGAN,7574,1000,0.5,0.054,RandomForest,0.5504361983912905,0.13953488372093023,0.1875,0.1111111111111111,0.5418134836739488,0.12147127994377166,0.7151456424712238,0.06583329494409043,-1.6855061966975815,0.5535284022819259
Kidney mortality,1,4,43,1190,Standard CTGAN,7574,1000,0.5,0.054,CatBoost,0.5271654695697205,0.08695652173913043,0.2,0.05555555555555555,0.52143528306319,0.12739407982418982,0.7462316968130922,0.0567243363749767,-1.3238003894520214,0.6342239293681521
Kidney mortality,1,4,43,1190,SepAware CTGAN,7574,1000,0.5,0.054,LogisticRegression,0.5087202161631049,0.13043478260869565,0.08522727272727272,0.2777777777777778,0.5537937514681701,0.08638017564727168,0.6407192075796727,0.15568725788638,-2.610793338840794,0.3455412537805146
Kidney mortality,1,4,43,1190,SepAware CTGAN,7574,1000,0.5,0.054,RandomForest,0.5524243680066308,0.14736842105263157,0.17073170731707318,0.12962962962962962,0.5468444131234829,0.12096249369071177,0.7229171560566909,0.06709148987909691,-1.6874847580664578,0.5721815217430835
Kidney mortality,1,4,43,1190,SepAware CTGAN,7574,1000,0.5,0.054,CatBoost,0.5453317430926667,0.12658227848101267,0.2,0.09259259259259259,0.5357254717719834,0.13743284499274,0.7337620389945971,0.05987652859300861,-1.4624368533494712,0.6095262629262644
Kidney mortality,1,4,43,1190,Standard TVAE,7574,1000,0.5,0.054,LogisticRegression,0.5271339156750808,0.11290322580645161,0.1,0.12962962962962962,0.5315167175632292,0.07785545515520076,0.5980248218620311,0.0892743678767385,-2.4372542785225106,0.1397586551364504
Kidney mortality,1,4,43,1190,Standard TVAE,7574,1000,0.5,0.054,RandomForest,0.5001270169055404,0.031746031746031744,0.1111111111111111,0.018518518518518517,0.5050309294495341,0.1056498796482605,0.7027347114556417,0.055095141550675984,-1.4052718987216766,0.5406079687916042
Kidney mortality,1,4,43,1190,Standard TVAE,7574,1000,0.5,0.054,CatBoost,0.49527621187025045,0.0273972602739726,0.05263157894736842,0.018518518518518517,0.49974551718737764,0.10240387789361353,0.7145192232401534,0.05897375108566779,-1.613878766589626,0.43792982148200144
Kidney mortality,1,4,43,1190,SepAware TVAE,7574,1000,0.5,0.054,LogisticRegression,0.5024500565397663,0.05714285714285714,0.058823529411764705,0.05555555555555555,0.5024077989194268,0.08669069448220362,0.6331434500039151,0.07369188357828073,-2.2662631937312665,0.20193195677534012
Kidney mortality,1,4,43,1190,SepAware TVAE,7574,1000,0.5,0.054,RandomForest,0.5006491560970738,0.03225806451612903,0.125,0.018518518518518517,0.5055594706757498,0.11440945104985571,0.7238567849032964,0.05458856269083533,-1.307085879365981,0.5689736558061731
