dataset,task,repeat,fold,condition,regime,generator_seed,seconds,marginal_similarity,correlation_similarity,detection_auroc,coverage_distance,diversity,exact_match_rate,membership_proxy_auroc
Vigitel obesity,vigitel_obesity,2,2,SepAware TVAE,TSTR,20118,6.451582908630371,0.6484666666666666,0.9248410370054334,0.9999742500000001,3.9308709863234883,0.6099740985778137,0.0,0.514667
Vigitel obesity,vigitel_obesity,2,3,Standard CTGAN,TSTR,10155,10.266324996948242,0.9105166666666668,0.9483600787459867,0.9952564999999999,2.2664467765004,5.607197264574629,0.0,0.48064275
Vigitel obesity,vigitel_obesity,2,3,SepAware CTGAN,TSTR,10155,13.163970947265625,0.9011,0.9585418200081728,0.9902572500000001,1.9742241734224133,4.67229804961684,0.0,0.506547625
Vigitel obesity,vigitel_obesity,2,3,Standard TVAE,TSTR,20155,5.106039762496948,0.6791333333333331,0.9302265710890767,0.9998686875,3.7615175729477897,1.1765847224731043,0.0,0.486858
Vigitel obesity,vigitel_obesity,2,3,SepAware TVAE,TSTR,20155,6.716580867767334,0.64545,0.9256567657846974,0.99997075,3.800596610789964,0.6115894060860115,0.0,0.486673
Vigitel obesity,vigitel_obesity,2,4,Standard CTGAN,TSTR,10192,10.126641035079956,0.9251333333333335,0.9489558317199075,0.9938131250000001,2.3409689467655483,5.599589653763406,0.0,0.5038900000000001
Vigitel obesity,vigitel_obesity,2,4,SepAware CTGAN,TSTR,10192,12.67264699935913,0.8892000000000001,0.9578389397380422,0.985001375,2.0664046178120183,4.502823473176777,0.0,0.5225785
Vigitel obesity,vigitel_obesity,2,4,Standard TVAE,TSTR,20192,4.741320848464966,0.6821666666666667,0.9413309131281508,0.999855375,3.808522312650497,1.239613400706777,0.0,0.50371925
Vigitel obesity,vigitel_obesity,2,4,SepAware TVAE,TSTR,20192,6.479644775390625,0.6483500000000001,0.9256575734066635,0.99996303125,3.841590840343421,0.7959807070127852,0.0,0.500783875
COVID-19 hospital mortality,covid_mortality,0,0,Standard CTGAN,TSTR,10042,2.3427011966705322,0.958007036658722,0.9558171153164241,0.7643956290591816,4.665745030915231,10.239335919883032,0.0,0.4676616915422886
COVID-19 hospital mortality,covid_mortality,0,0,SepAware CTGAN,TSTR,10042,3.09194016456604,0.9561911247304506,0.9589501590639298,0.7548569905595534,4.432584101913117,7.545755903975683,0.0,0.5191458438146347
COVID-19 hospital mortality,covid_mortality,0,0,Standard TVAE,TSTR,20042,1.5000660419464111,0.8767449778685733,0.9513875444373456,0.9885045378669921,5.632660743155686,1.5325728380050863,0.0,0.5064285314998043
COVID-19 hospital mortality,covid_mortality,0,0,SepAware TVAE,TSTR,20042,2.028820037841797,0.8843491090682101,0.9522579454752991,0.9892339631640226,5.694322592696977,1.2933509046809335,0.0,0.4982670915087485
COVID-19 hospital mortality,covid_mortality,0,1,Standard CTGAN,TSTR,10079,3.2974190711975098,0.9284984678243106,0.9560880422705583,0.8948505379511567,4.542585862802086,12.571843603580994,0.0,0.5067080328693611
COVID-19 hospital mortality,covid_mortality,0,1,SepAware CTGAN,TSTR,10079,3.958899974822998,0.9266825558960391,0.9620059373978963,0.8500540055267993,4.464450812665816,7.990431595480311,0.0,0.5043602213650846
COVID-19 hospital mortality,covid_mortality,0,1,Standard TVAE,TSTR,20079,1.3655281066894531,0.8752695494268528,0.9522051532608083,0.990117689966194,5.760558819047198,1.2448233342219466,0.0,0.4901336016546481
COVID-19 hospital mortality,covid_mortality,0,1,SepAware TVAE,TSTR,20079,1.955765962600708,0.8858245375099307,0.9517009445602249,0.9915204309220216,5.783743586076072,1.171106418273632,0.0,0.49127955726983064
COVID-19 hospital mortality,covid_mortality,0,2,Standard CTGAN,TSTR,10116,2.570441961288452,0.9415503348087617,0.9543884639817087,0.84386090420682,4.811333164871904,11.534560685493277,0.0,0.5188104421711667
COVID-19 hospital mortality,covid_mortality,0,2,SepAware CTGAN,TSTR,10116,3.238105058670044,0.9391669504029054,0.9634316655658076,0.7913843650493062,4.542166430193546,7.811632660271224,0.0,0.5465928783051037
