dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
Kidney mortality,Random oversampling,CatBoost,15,0.10350220823806286,0.0156499997624451,0.5371946631957049,0.016436246865785667,0.17505870750094396,0.027920065217093726,0.35588166783135333,0.0562861162222982,0.630947141094147,0.03434221694678933,0.14639276674710305,0.0021550702007886616
Kidney mortality,Random oversampling,LogisticRegression,15,0.1169778228262729,0.012674539272890552,0.5016191874242469,0.0060985500897016934,0.17940514184358214,0.010038954364990726,0.594362916375495,0.053226731912496335,0.7081574349886027,0.030284509107350564,0.21644164359665063,0.0038969629874274552
Kidney mortality,Random oversampling,RandomForest,15,0.08857567876456789,0.013637310561607704,0.544194069175752,0.014777666172970402,0.14035875116697671,0.027733155662973078,0.14982529699510833,0.030258352947083282,0.5894964888889145,0.03146613557596008,0.10282736433824652,0.0027921606535469662
Kidney mortality,Random undersampling,CatBoost,15,0.11724207050920539,0.01825681957325034,0.4875871043676989,0.020228181154442266,0.17343387803782884,0.01663270631639558,0.6231306778476589,0.05457557616924849,0.6912240415184325,0.03486184594798424,0.2309724748249916,0.009679212473271146
Kidney mortality,Random undersampling,LogisticRegression,15,0.11385994462042785,0.021910751643355937,0.4944416723908715,0.01000754982795703,0.17269761255154792,0.014267888936168548,0.5882832518052644,0.0652657006143976,0.6954471648706764,0.029959767256984866,0.22406101349298296,0.005210340598145643
Kidney mortality,Random undersampling,RandomForest,15,0.11996858324321992,0.01782584557098055,0.47904258909392633,0.024101730647767956,0.16995849570442545,0.019007815827767446,0.6407640344747263,0.07201541176778159,0.7021930429424151,0.038037508661012555,0.21889626386647884,0.007907670520977484
Kidney mortality,Real only,CatBoost,15,0.1226158110047489,0.01621770773828072,0.4873236488141163,0.00494117254544988,0.0024691358024691358,0.009562921842487448,0.0012578616352201257,0.004871677165040777,0.7015698067729926,0.02787813173958766,0.04966591258922126,0.0009747004625551462
Kidney mortality,Real only,LogisticRegression,15,0.11985513819478462,0.01606374161440433,0.48621332638392445,0.00019109102603628988,0.0,0.0,0.0,0.0,0.6989741194873673,0.03005882635545997,0.04959854126942131,0.0008745883031753639
Kidney mortality,Real only,RandomForest,15,0.12224343551584806,0.019108653015606367,0.48628374430105925,0.00013383769396644308,0.0,0.0,0.0,0.0,0.692368096046776,0.032812145418236335,0.049767501560501755,0.0011571509706896233
Kidney mortality,SMOTE,CatBoost,15,0.08869088468167588,0.020441640577266808,0.5278020763811833,0.026489308613675207,0.09736638502761207,0.052246650768731466,0.08252969951083158,0.046207578948120005,0.5874985375535019,0.03756663612986227,0.08880055695951125,0.0049929698385873696
Kidney mortality,SMOTE,LogisticRegression,15,0.1135108468208489,0.013416683771495451,0.502567676320353,0.009057271489954137,0.1811637895436366,0.013729994837960096,0.6006522245515955,0.0635711106915735,0.7046559974660791,0.03144484375659538,0.21578380287670765,0.004682592964350532
Kidney mortality,SMOTE,RandomForest,15,0.08510854962849947,0.016740632608142975,0.5304671541766157,0.025863908407514714,0.10163495416593397,0.05059558744634822,0.08364779874213836,0.043260237721774765,0.5904678342835242,0.030725171669270808,0.08868434787399407,0.0032502901644858753
