dataset,task,repeat,fold,partition_seed,generator_seed,condition,regime,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney-cohort 365-day mortality,kidney_mortality,0,2,42,20116,Standard TVAE,TSTR,CatBoost,0.5755878108819286,0.20168067226890757,0.18181818181818182,0.22641509433962265,0.584696459524616,0.1289633692891876,0.7191727600565838,0.08467065462283216,-1.880013068538143,0.15773820166098218
Kidney-cohort 365-day mortality,kidney_mortality,0,2,42,20116,SepAware TVAE,TSTR,LogisticRegression,0.4902245166107828,0.10126582278481013,0.06521739130434782,0.22641509433962265,0.5223944531888187,0.07557460343988989,0.5544719172760056,0.20372743233585555,-2.799923283444994,0.015617161863302654
Kidney-cohort 365-day mortality,kidney_mortality,0,2,42,20116,SepAware TVAE,TSTR,RandomForest,0.5215694733669064,0.13930348258706468,0.0945945945945946,0.2641509433962264,0.5613257356896655,0.08950296201854929,0.6753302384889721,0.12213568093731018,-2.314237599982516,0.2734363155824338
Kidney-cohort 365-day mortality,kidney_mortality,0,2,42,20116,SepAware TVAE,TSTR,CatBoost,0.5289328293108462,0.14736842105263157,0.10218978102189781,0.2641509433962264,0.5671335498396127,0.09290092562236854,0.6795441413799287,0.12776403055025048,-2.2393665632227746,0.12292988334588277
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,Standard CTGAN,TSTR,LogisticRegression,0.48612538540596095,0.0,0.0,0.0,0.5,0.045571318270905395,0.4337953175162478,0.05298398315658487,-2.513355059672133,0.10949287958681643
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,Standard CTGAN,TSTR,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.054672851297199475,0.49412731970871504,0.05236340836247166,-3.028149398904348,-0.05908154685819285
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,Standard CTGAN,TSTR,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.5,0.052894855391129286,0.41814462453997336,0.05418615613322506,-3.685387451827504,-0.2756052158508348
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,SepAware CTGAN,TSTR,LogisticRegression,0.48586118251928023,0.0,0.0,0.0,0.49947145877378435,0.08511881279807901,0.5519536449769008,0.06027653134567258,-2.5306195047976843,0.12870784450507056
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,SepAware CTGAN,TSTR,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.12430622161607963,0.6247553049878631,0.05553502208745407,-1.6969167693152656,0.5298517128778658
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,10153,SepAware CTGAN,TSTR,CatBoost,0.5135548331801932,0.05970149253731343,0.15384615384615385,0.037037037037037035,0.5127045650301464,0.0994671591612081,0.5785764622973926,0.05924332835362242,-2.3325030963775615,0.21022740387353514
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,Standard TVAE,TSTR,LogisticRegression,0.4764696923545538,0.15816326530612246,0.09171597633136094,0.5740740740740741,0.624774880588834,0.07988073820859568,0.6148598386970479,0.3219019807631178,-2.9647650608530407,0.051967296180690216
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,Standard TVAE,TSTR,RandomForest,0.5298655897775902,0.1702127659574468,0.11049723756906077,0.37037037037037035,0.6000900477644664,0.09863730225987233,0.6531105629942839,0.12630933218069942,-2.408536939095006,0.24284544515665862
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,Standard TVAE,TSTR,CatBoost,0.5333041349253645,0.17721518987341772,0.11475409836065574,0.3888888888888889,0.60882076579751,0.09982789981579288,0.6634954193093727,0.1589812469663593,-2.4369835661347428,0.12656238464915034
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,SepAware TVAE,TSTR,LogisticRegression,0.4676957881429237,0.15789473684210525,0.09065934065934066,0.6111111111111112,0.6306084096781772,0.08121098410120096,0.6381254404510218,0.340386711830696,-3.024997864823494,0.06035704607182822
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,SepAware TVAE,TSTR,RandomForest,0.5147906609538064,0.12807881773399016,0.087248322147651,0.24074074074074073,0.5484887636050427,0.08285861564277223,0.6451041421971655,0.12291307392298469,-2.4442028253402452,0.24242706338509146
Kidney-cohort 365-day mortality,kidney_mortality,0,3,42,20153,SepAware TVAE,TSTR,CatBoost,0.5087705910968247,0.13445378151260504,0.08695652173913043,0.2962962962962963,0.5593532221439198,0.077993972072148,0.6425495262704564,0.17173424399615697,-2.6248323393318724,0.08856874044569064
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,Standard CTGAN,TSTR,LogisticRegression,0.48612538540596095,0.0,0.0,0.0,0.5,0.08577512245248858,0.6285138203742855,0.050647267708426744,0.5048508866980201,1.1229357499316708
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,Standard CTGAN,TSTR,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.07825315563821343,0.4661244225197714,0.051688347190695254,-3.2842516673661675,-0.13778940731015243
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,Standard CTGAN,TSTR,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.5,0.06348804311173784,0.392187377652494,0.051722356988366684,-4.529922694702265,-0.5528335969448619
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,SepAware CTGAN,TSTR,LogisticRegression,0.48612538540596095,0.0,0.0,0.0,0.5,0.053962696834726626,0.4863949573251899,0.056876963967303885,-2.758407800486175,0.03856621828863239
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,SepAware CTGAN,TSTR,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.044570871824409816,0.4369078380706287,0.07471882389000024,-3.2788890962885584,-0.1817306812057283
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,10190,SepAware CTGAN,TSTR,CatBoost,0.5017182130584192,0.03333333333333333,0.16666666666666666,0.018518518518518517,0.5066165531281811,0.0487807759276448,0.45466290815128024,0.06347782527023542,-2.886700902785532,-0.009118618841825521
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,Standard TVAE,TSTR,LogisticRegression,0.5240727421733442,0.17712177121771217,0.11059907834101383,0.4444444444444444,0.6202137655626028,0.09815647708115062,0.6709928744812466,0.21486210469258674,-2.827955868048567,0.056378124430137594
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,Standard TVAE,TSTR,RandomForest,0.5001857286494708,0.15181518151815182,0.09236947791164658,0.42592592592592593,0.5935126458382272,0.10754536527408536,0.6628983634797588,0.1580489476313902,-2.4820425319997206,0.2346651992625554
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,Standard TVAE,TSTR,CatBoost,0.5031506557622694,0.15436241610738255,0.0942622950819672,0.42592592592592593,0.5961553519693055,0.1051669065189204,0.6470714900947458,0.211651183985358,-2.612116465713424,0.09028714720465139
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,SepAware TVAE,TSTR,LogisticRegression,0.4782017587951727,0.15938303341902313,0.09253731343283582,0.5740740740740741,0.626360504267481,0.09305606698447559,0.6471106412966878,0.3136406218515145,-2.926529150985951,0.0531375770304598
